metric,test_score,threshold,precision,recall
best_ts_f1_score,0.47471222281455994,2125.7119140625,0.8048780560493469,0.3366261422634125
ts_auprc,0.3548683822154999,,,
best_ts_f1_score_classic,0.3236832916736603,2042.3896484375,0.39125844836235046,0.2760125398635864
ts_auprc_unweighted,0.29882073402404785,,,
best_f1_score,0.6370967741935484,2583.956298828125,,
auprc,0.5471487117578233,,,
