metric,test_score,threshold,precision,recall
best_ts_f1_score,0.47539612650871277,2082.610595703125,0.8088235259056091,0.3366261422634125
ts_auprc,0.378944456577301,,,
best_ts_f1_score_classic,0.3370327055454254,2328.413818359375,0.44594594836235046,0.27087658643722534
ts_auprc_unweighted,0.30250149965286255,,,
best_f1_score,0.6438631790744467,2460.32666015625,,
auprc,0.5581561253785907,,,
